case_id,ego_kld,random,my_hypo,kld_sub
catch_rugby_ball,0.233,0.293,0.242,-0.009
sit_on_couch,0.781,0.799,0.791,-0.01
wash_wine_glass,0.678,0.723,0.689,-0.011
throw_javelin,2.287,2.484,2.302,-0.014
lie_on_bed,0.615,0.727,0.629,-0.015
cut_orange,0.677,0.694,0.694,-0.017
peel_carrot,0.627,0.641,0.645,-0.018
hit_axe,1.932,1.836,1.957,-0.024
pack_suitcase,0.809,0.772,0.834,-0.025
take_photo_camera,1.256,1.299,1.283,-0.027
jump_surfboard,0.903,0.954,0.932,-0.029
wash_toothbrush,0.677,0.733,0.707,-0.029
throw_frisbee,0.743,0.881,0.773,-0.031
type_on_keyboard,0.316,0.499,0.351,-0.034
eat_orange,0.667,0.676,0.703,-0.036
eat_banana,0.56,0.581,0.597,-0.037
beat_drum,0.706,0.77,0.744,-0.037
drink_with_wine_glass,1.452,1.527,1.493,-0.04
eat_broccoli,0.184,0.184,0.226,-0.042
hold_toothbrush,1.035,1.465,1.079,-0.043
carry_skis,1.907,2.021,1.951,-0.043
hit_hammer,2.413,2.542,2.457,-0.044
brush_with_toothbrush,1.084,1.157,1.132,-0.048
hold_surfboard,1.815,1.848,1.864,-0.05
cut_apple,0.307,0.484,0.357,-0.05
wash_orange,0.498,0.544,0.553,-0.054
throw_discus,0.53,0.658,0.586,-0.056
eat_apple,0.301,0.394,0.357,-0.056
hold_book,0.865,0.983,0.922,-0.056
open_suitcase,1.841,1.88,1.897,-0.057
sit_on_bed,0.685,0.644,0.752,-0.067
lie_on_surfboard,0.56,0.636,0.631,-0.071
throw_rugby_ball,0.226,0.318,0.298,-0.071
ride_motorcycle,0.987,1.03,1.059,-0.072
swing_golf_clubs,1.914,1.748,1.989,-0.075
jump_skis,1.891,2.021,1.969,-0.078
peel_banana,0.3,0.334,0.38,-0.08
hold_fork,1.098,1.142,1.181,-0.083
type_on_laptop,0.306,0.33,0.39,-0.084
carry_surfboard,1.803,1.861,1.891,-0.089
hold_skis,1.881,1.99,1.97,-0.089
hold_cup,0.683,0.808,0.775,-0.091
kick_rugby_ball,0.214,0.327,0.306,-0.092
kick_soccer_ball,0.098,0.131,0.192,-0.094
ride_bicycle,1.546,1.935,1.656,-0.109
open_oven,1.651,1.724,1.765,-0.114
open_book,0.899,1.088,1.016,-0.116
throw_basketball,0.264,0.428,0.388,-0.124
hold_axe,1.048,1.188,1.183,-0.135
hold_knife,0.695,0.751,0.832,-0.137
boxing_punching_bag,0.97,0.956,1.113,-0.143
eat_carrot,0.78,0.761,0.924,-0.144
stick_fork,0.837,0.994,1.004,-0.166
kick_punching_bag,1.282,1.226,1.474,-0.193
hold_suitcase,3.02,2.931,3.228,-0.208
hold_frisbee,0.928,1.135,1.14,-0.212
swing_baseball_bat,1.399,1.61,1.632,-0.233
hit_baseball_bat,1.452,1.602,1.701,-0.249
pour_cup,1.244,1.505,1.521,-0.277
pick_up_suitcase,1.37,1.588,1.657,-0.286
lift_fork,1.455,1.731,1.752,-0.297
wash_fork,0.701,1.061,1.002,-0.301
drink_with_bottle,1.536,2.128,1.859,-0.322
throw_baseball,0.519,0.944,0.933,-0.414
push_motorcycle,1.969,2.027,2.693,-0.724
push_bicycle,2.337,4.548,4.131,-1.794
sip_bottle,,,,
throw_soccer_ball,,,,
